evTimes	evNumSegs	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
203	1	6.5218363	1.26049E8	1.79926	199.96916666666667	125.0	202.66666666666669	125.0
204	1	6.432192	1.8542E8	0.89745	NaN	NaN	NaN	NaN
207	1	6.5141377	1.27767E8	1.72849	202.13959999999997	133.0	202.426	133.0
210	1	6.166601	1.50656992E8	0.441358	NaN	NaN	NaN	NaN
210	1	6.5563774	1.46592E8	1.74315	NaN	NaN	NaN	NaN
211	1	6.5493274	1.8543E8	1.3449	NaN	NaN	NaN	NaN
211	1	6.6960635	1.72932E8	2.39386	NaN	NaN	NaN	NaN
215	1	6.524316	1.13589E8	2.0138	NaN	NaN	NaN	NaN
216	2	6.7683487	2.27611008E8	2.3345802	224.38332157408914	131.00011422998008	208.85266523146947	131.00011422998008
216	1	6.4603457	1.27767E8	1.43542	218.4168	161.0	216.5444	161.0
217	1	6.9008527	1.80028992E8	4.66461	NaN	NaN	NaN	NaN
217	1	6.6183963	1.39508992E8	2.26919	NaN	NaN	NaN	NaN
219	1	6.3805833	1.31677E8	1.05741	NaN	NaN	NaN	NaN
220	2	6.9878893	3.06515008E8	3.7005022	210.3500748522367	87.0	222.21734736201057	87.0
221	4	7.106784	5.6507398E8	3.0265594	182.05639356615242	81.17108201757645	174.2587253976175	81.17108201757645
223	1	6.424286	1.57288992E8	1.02946	219.63066666666663	151.0	220.99266666666662	151.0
223	1	6.5945697	1.27642E8	2.28423	254.35250000000002	64.0	223.16333333333336	64.0
226	1	6.4613585	1.5729E8	1.17008	216.00533333333334	138.0	220.58133333333333	138.0
228	2	6.8110824	2.99974016E8	2.053142	NaN	NaN	NaN	NaN
228	1	6.627933	1.456E8	2.24707	NaN	NaN	NaN	NaN
228	16	7.821533	2.32245197E9	8.694247	NaN	NaN	NaN	NaN
228	1	6.5066	1.26294E8	1.70371	233.98791666666668	163.0	224.90833333333333	163.0
228	1	6.4381533	1.27779E8	1.32938	214.1752	161.0	223.48640000000003	161.0
228	3	7.0015206	4.78288992E8	2.4858181	NaN	NaN	NaN	NaN
228	7	7.523155	1.12205504E9	6.4209266	NaN	NaN	NaN	NaN
228	3	7.1722093	4.79729984E8	4.4688487	NaN	NaN	NaN	NaN
228	1	6.654536	1.59836992E8	2.24391	NaN	NaN	NaN	NaN
228	2	6.9360695	3.4136E8	2.778244	NaN	NaN	NaN	NaN
228	1	6.7209187	1.80516992E8	2.49884	NaN	NaN	NaN	NaN
228	1	6.1840386	1.57624992E8	0.448035	NaN	NaN	NaN	NaN
228	1	6.7542715	1.4058E8	3.6005	NaN	NaN	NaN	NaN
233	7	7.310663	1.00030298E9	3.4573395	196.60951988255894	52.5537082264074	220.2951833273685	52.5537082264074
234	1	6.5543413	1.72847008E8	1.46801	220.33416666666668	98.0	230.22916666666669	98.0
235	1	6.5577884	1.27642E8	2.01172	220.64333333333335	53.0	247.39833333333334	53.0
237	2	6.722357	3.14577984E8	1.4410712	239.07140915130748	143.0	243.19234102405971	143.0
237	1	6.579884	1.49976E8	1.84792	NaN	NaN	NaN	NaN
238	1	6.469758	1.57276E8	1.20463	229.30866666666665	149.0	230.61133333333336	149.0
238	3	6.8875823	4.25812E8	1.8837965	224.81155622254724	114.0	224.590019130232	114.0
238	1	6.5816984	1.26049E8	2.21252	222.18833333333333	130.0	234.09333333333336	130.0
244	1	6.761907	2.01123008E8	2.58391	NaN	NaN	NaN	NaN
244	1	6.734422	1.27276E8	3.71335	NaN	NaN	NaN	NaN
246	12	7.4722314	1.86367898E9	3.2423124	NaN	NaN	NaN	NaN
246	3	7.0577126	4.16048E8	3.4697986	NaN	NaN	NaN	NaN
246	4	7.117571	6.4259699E8	2.7624636	NaN	NaN	NaN	NaN
246	1	6.5363812	1.51912992E8	1.56984	NaN	NaN	NaN	NaN
246	3	6.9389925	4.09492992E8	2.3394876	242.8244170443695	145.34576415225658	231.88711060384426	145.34576415225658
246	1	6.1999397	1.67912992E8	0.444328	NaN	NaN	NaN	NaN
251	1	6.5118513	1.38683008E8	1.57991	509.31833333333344	246.0	627.4983333333333	246.0
256	3	7.0090775	4.08012992E8	2.9910324	245.36793203076047	145.66685130130656	238.55217789139073	145.66685130130656
257	1	6.5086937	1.57288E8	1.37792	270.86133333333333	179.0	267.426	179.0
259	1	6.789027	1.43276E8	3.98333	258.7776666666667	126.0	249.0496666666667	126.0
260	5	7.1973057	8.0877101E8	2.8907588	257.74585315352965	137.2975737260609	259.6801894778209	137.2975737260609
260	1	6.6459975	1.6346E8	2.13041	276.53416666666664	99.0	263.11583333333334	99.0
264	2	6.871736	2.53099008E8	3.0004892	256.01956905558694	136.0	268.2181551566778	136.0
265	1	6.5631595	1.48644E8	1.75983	234.5366666666666	39.0	269.0311111111111	39.0
276	4	7.2657566	5.3960397E8	5.488306	259.94382080068596	77.00028724768534	205.55207180512625	77.00028724768534
277	3	6.820591	3.83312992E8	1.6603961	283.41619050645295	217.00034436609246	276.9106668430239	217.00034436609246
277	1	6.5767775	1.30965E8	2.09358	219.7432	136.0	228.8736	136.0
279	5	7.264773	7.1050803E8	4.1540246	262.01739001982673	110.46337307927642	228.6818851368786	114.22271388921729
279	2	6.830501	3.24095008E8	2.03216	NaN	NaN	NaN	NaN
280	1	6.5394583	1.26049E8	1.91217	282.67375000000004	203.0	277.96916666666664	203.0
285	1	6.6008	1.27633E8	2.33408	309.5066666666667	115.0	285.4166666666667	115.0
287	1	6.4084516	1.57276E8	0.974751	243.98340000000002	179.0	259.94933333333336	179.0
291	1	6.545053	1.35096E8	1.81893	257.631	197.0	293.0106666666667	197.0
292	5	7.2487864	7.4835597E8	3.7320726	NaN	NaN	NaN	NaN
292	4	7.115255	5.9831002E8	2.9432995	302.17331304075924	179.53583426651736	315.49650578016974	179.53583426651736
293	1	6.4674606	1.57288992E8	1.19501	302.6673333333333	223.0	291.6306666666667	223.0
293	1	6.6280804	1.45095008E8	2.25604	NaN	NaN	NaN	NaN
296	1	6.440652	1.5729E8	1.08932	298.6213333333333	226.0	304.00533333333334	226.0
297	5	7.2918787	7.79528E8	4.157817	NaN	NaN	NaN	NaN
297	1	6.6978397	1.72848E8	2.40976	298.81333333333333	98.0	274.3891666666667	98.0
297	1	6.4706464	1.2936E8	1.46909	279.42416666666674	157.0	300.78	157.0
297	1	6.197117	1.29346E8	0.571217	NaN	NaN	NaN	NaN
299	1	6.480731	1.26294E8	1.55809	292.92041666666665	228.0	298.9879166666667	228.0
299	1	6.5477023	1.2668E8	1.9576	299.1333333333333	136.0	276.625	136.0
304	1	6.3115706	1.42438E8	0.77021	NaN	NaN	NaN	NaN
304	1	6.5305495	1.13799E8	2.05383	298.1532	216.0	302.2508	216.0
307	1	6.5203285	1.57288992E8	1.43441	274.62733333333335	179.0	294.77733333333333	179.0
307	1	6.644	1.48363008E8	2.33106	NaN	NaN	NaN	NaN
312	1	6.4593887	1.57276E8	1.16225	315.4833333333334	238.0	318.3086666666667	238.0
312	1	6.754462	1.43268992E8	3.53524	303.8413333333333	186.0	308.96133333333336	186.0
315	1	6.729231	1.55916E8	2.97738	NaN	NaN	NaN	NaN
315	1	6.6151314	1.26049E8	2.48334	288.4725	185.0	304.90583333333336	185.0
315	1	6.271101	1.43546E8	0.664568	NaN	NaN	NaN	NaN
318	1	6.5592146	1.13812E8	2.26732	306.69280000000003	216.0	316.51480000000004	216.0
322	1	6.4564514	1.57288E8	1.15043	313.69533333333334	237.0	321.146	237.0
324	1	6.575986	1.43026E8	1.9118	284.7266666666667	221.0	323.865	221.0
326	1	6.508441	1.5729E8	1.3767	270.78	179.0	317.34866666666665	179.0
333	1	6.619249	1.26049E8	2.51891	342.9545833333333	238.0	330.18833333333333	238.0
333	1	6.406608	1.66883008E8	0.912807	NaN	NaN	NaN	NaN
333	1	6.625844	1.58780992E8	2.04572	NaN	NaN	NaN	NaN
336	1	6.5291376	1.26292E8	1.84166	322.73583333333335	246.0	324.7729166666667	246.0
337	1	6.6691523	1.54919008E8	2.43502	NaN	NaN	NaN	NaN
338	1	6.7830634	1.43268992E8	3.90231	350.077	220.0	334.83666666666664	220.0
339	1	6.450988	1.57276E8	1.12901	362.26733333333334	287.0	351.9834	287.0
342	1	6.542548	8.3029696E7	2.93405	NaN	NaN	NaN	NaN
346	1	6.550858	1.26677E8	1.9791	356.92499999999995	192.0	344.65583333333336	192.0
346	13	7.4940543	1.85312397E9	3.5160558	330.39053225403563	204.3684800742243	329.4722540805328	203.85276538429162
346	2	6.9264474	2.86043008E8	3.2071457	327.90485613701435	221.0	341.0737586586632	221.0
346	1	6.632256	1.46692992E8	2.26388	625.9699999999999	60.0	664.145	60.0
348	3	6.785234	3.83312992E8	1.4695214	335.7808581446494	277.0	343.4158461403605	277.0
348	2	6.3932033	2.88232E8	0.50459355	NaN	NaN	NaN	NaN
349	1	6.4923954	1.5729E8	1.30248	323.83199999999994	237.0	344.99666666666667	237.0
351	1	6.525741	1.72847008E8	1.32993	344.82750000000004	234.0	356.33416666666665	234.0
355	1	6.4852834	1.48080992E8	1.34991	301.985	77.0	302.325	77.0
361	2	6.998377	3.26492E8	3.60223	344.07433333333324	224.0	357.634	224.0
361	2	6.6950045	2.52343008E8	1.6345341	357.6148133096618	289.5092235568254	361.7991448791922	289.5092235568254
361	2	6.8182178	2.83200992E8	2.2290037	338.87515575068585	246.0	351.8203778132257	246.0
361	1	6.7020073	1.62208992E8	2.60504	NaN	NaN	NaN	NaN
361	1	6.642119	1.58783008E8	2.16398	NaN	NaN	NaN	NaN
362	1	6.44596	1.57288E8	1.10949	330.966	257.0	348.86133333333333	257.0
364	1	6.766219	1.58847008E8	3.32069	NaN	NaN	NaN	NaN
364	2	6.958017	2.95231008E8	3.4653099	NaN	NaN	NaN	NaN
364	12	7.659939	1.82792896E9	6.3216076	NaN	NaN	NaN	NaN
364	9	7.4152737	1.15306394E9	4.3046274	352.2960366911116	180.1109400692416	367.9304622244732	180.1109400692416
364	4	7.036431	5.9041402E8	2.27179	325.31584157190264	136.0	379.28675206295924	136.0
364	1	6.539079	1.34129E8	1.79463	411.926	53.0	441.182	53.0
364	4	7.186045	6.1972403E8	3.6286736	NaN	NaN	NaN	NaN
366	1	6.721387	1.27291E8	3.54945	NaN	NaN	NaN	NaN
371	2	6.8374515	3.06758016E8	2.1991775	370.63239196695764	279.0	389.76955167428395	279.0
374	1	6.4148006	1.57288992E8	0.99628	359.41866666666664	293.0	372.6673333333333	293.0
374	3	6.8543353	4.39759008E8	1.6261748	NaN	NaN	NaN	NaN
376	1	6.5487294	1.36004992E8	1.82986	316.99533333333335	256.0	323.8503333333333	256.0
378	1	6.4738984	1.5729E8	1.22187	377.45799999999997	296.0	368.6213333333333	296.0
379	1	6.677657	1.2729E8	3.0519	NaN	NaN	NaN	NaN
384	2	6.6697893	2.98772E8	1.265385	NaN	NaN	NaN	NaN
384	8	7.3942227	1.18415718E9	3.897658	360.6370049607484	246.0	384.7016856764804	246.0
385	2	6.9073887	2.72008E8	3.157769	361.25896881464274	256.0	371.62657152240615	256.0
386	1	6.446218	1.58055008E8	1.10509	NaN	NaN	NaN	NaN
388	1	6.594856	1.29371E8	2.25593	415.9941666666667	228.0	385.18083333333334	228.0
392	4	6.899817	4.71144992E8	1.7760284	NaN	NaN	NaN	NaN
393	3	7.034358	4.81929984E8	2.7633233	NaN	NaN	NaN	NaN
393	1	6.489665	1.56583008E8	1.29608	NaN	NaN	NaN	NaN
393	4	7.1222687	5.6531597E8	3.1914701	380.72761166615953	247.74968690077762	383.23718739017943	247.74968690077762
393	1	6.576325	1.43026E8	1.91404	387.80133333333333	324.0	387.7266666666667	324.0
394	1	6.702647	1.67172992E8	2.53328	NaN	NaN	NaN	NaN
400	1	6.7882	1.43276E8	3.97196	391.39866666666666	259.0	391.7776666666667	259.0
400	2	6.647716	2.55546E8	1.3708296	402.8331854945881	348.0	402.23550066915544	348.0
405	1	6.357814	1.56820992E8	0.82072	NaN	NaN	NaN	NaN
410	1	6.5715914	1.73076992E8	1.55606	NaN	NaN	NaN	NaN
410	1	6.439093	1.8542E8	0.919098	387.81960000000004	204.0	383.49	204.0
411	1	6.4787655	1.57288E8	1.2426	404.8400000000001	322.0	398.69533333333334	322.0
411	4	7.240879	6.0161299E8	4.5173154	NaN	NaN	NaN	NaN
411	4	7.2590127	5.5424397E8	5.220314	NaN	NaN	NaN	NaN
411	11	7.4891376	1.64975002E9	3.8829994	402.7791764221852	240.98752962570086	370.19852805677635	240.98752962570086
414	2	6.7051682	2.41579008E8	1.7683638	404.6010414431718	333.8664867393275	412.48975605329935	333.8664867393275
414	1	6.5802455	1.27642E8	2.17397	416.1641666666667	235.0	402.6433333333333	235.0
418	1	6.585644	1.33615E8	2.11587	416.52899999999994	346.0	419.021	346.0
421	1	6.6195602	1.26049E8	2.52162	420.06750000000005	315.0	418.4725	315.0
421	2	6.705551	2.87719008E8	1.4867467	NaN	NaN	NaN	NaN
421	1	6.292441	1.6202E8	0.633828	NaN	NaN	NaN	NaN
422	1	6.504711	1.57276E8	1.3592	402.61333333333334	312.0	389.48333333333335	312.0
427	2	6.689574	2.52586E8	1.6026195	415.27591295308	348.5000989761903	416.1864856557107	348.5000989761903
429	1	6.469885	1.2936E8	1.46523	419.10249999999996	297.0	419.4241666666667	297.0
429	1	6.604069	1.27642E8	2.36042	419.7016666666666	223.0	413.3525	223.0
433	1	6.54887	1.36004992E8	1.83075	437.0249999999999	376.0	436.99533333333335	376.0
